,,,Guns By Date,,
Case Number,Booked,Description,Brand/Make Brand/Model,Serial #,
,Date,,,,
36877,,"RIFLE, S/N 20C018111, IN",,,
,,BLACK HARD CASE,,,
2016-,7/12/2016,JDB-1 Smith and Wesson 9mm,,SW9VE,DUN0708
37393,,pistol s/n DUN0708,,,
2016-,7/18/2016,RA-2 AR-15,Windham,WW-15,WW0956
38007,,,Weaponr,,
2016-,7/18/2016,RA-1 Beretta M9,,Beretta,M9-1686
38007,,,,,
38738,,Bushnell Scope.,,,
2016-,7/20/2016,BR 1 - 1 fourth generation Glock,,Glock,RBK489
38957,,23,,,
2016-,7/26/2016,ATM- 1 Brevete S.G.D.G.,Brevete,S.G.D.G.,149041
39984,,Browning's patenthandgun,,,
2016-,8/2/2016,LIP4 - HI-Standard .22 caliber,HI-Standard,.22 revolver,860469
41425,,"revolver, black with white handle",,,
2016-,8/8/2016,BJB-1: Glock 19 with SN,glock,19,ABVN751
42449,,ABVN751,,,
2016-,8/19/2016,JBB-1 REMINGTON 870,REMINGTON,870,D621677
44568,,"EXPRESS SHOTGUN, 12 GA,",,,
,,"S/N D621677M, FOR",,,
,,DESTRUCTION,,,
2016-,8/19/2016,"JBB-2 RUGER .22 RIFLE, S/N",RUGER,10/22,165617
44568,,"165617, FOR DESTRUCTION",,,
2016-,8/21/2016,AJF-9 - Glock 23,,23,AWR598
44974,,,,,
2016-,8/21/2016,AJF-8 - Firestar M43,,M43,2090369
44974,,,,,
2016-,8/21/2016,AJF-7 - Glock 19,,19,ARX596
44974,,,,,
2016-,8/21/2016,AJF-6 - Ruger P85,,P85,300-5157
44974,,,,,
2016-,8/21/2016,AJF-1 - Bushmaster AR10,,BR-308,BRD0137
44974,,,,,
2016-,8/21/2016,AJF-2 Bushmaster AR15,,Carbon 15,CBC0595
44974,,,,,
2016-,8/21/2016,AJF-5 - Ruger 10/22,,10/22,827-2445
44974,,,,,
2016-,8/21/2016,AJF-4 - Norinco SKS,,SKS,1886
44974,,,,,
2016-,8/21/2016,AJF-3 - Rossi Shotgun/rifle,,M2022,SP44285
44974,,,,,
2016-,8/26/2016,MLV-2 Glock 17,,Glock 17,LEE137
45936,,,,,
2016-,8/26/2016,MLV-1 Glock 43,,Glock 43,BAXP490
45936,,,,,
2016-,8/29/2016,MCB-1 Kimber Micro 9mm,,Kimber,PB00140
46383,,SN/PB0014081. Serial is clear.,,,
2016-,8/31/2016,DTS-1- shotgun,Sears Roebuck,JCHiggins583.17,unknown
46799,,,,,
2016-,8/31/2016,"DTS-2- shotgun, firing pin",Remington,pump action,U97811
46799,,assembly in separate container,,,
47842,,,,,
2016-,9/6/2016,AEE 3 - Safekeeping - KG15,,KG 15,745
47842,,,,,
2016-,9/6/2016,AEE 2 - Safekeeping - Taurus,,PT24/7 Pro,SBM5242
47842,,SBM52427,,,
2016-,9/6/2016,AEE 1 - Safekeeping - Kimber,,Kimber MFG,KR81032
47842,,KR81032,,,
2016-,9/10/2016,MMM-1 (1) 40 cal Sig Sauer,Sig Sauer,sp2022,24B0688
47842,,pistol,,,
2016-,9/12/2016,"JAP-1, Stoeger Cougar semi-",Stoeger Cougar,8040F,T6429-
47842,,auto handgun,,,09D0003
2016-,9/22/2016,jdb 1 Browning 12 guage,Browning,Light,7G72966
51019,,shotgun,,,
2016-,9/22/2016,LER-1 Black semi-auto handgun.,,Modified Glock,s7678
51079,,- Glock,,,
2016-,10/18/2016,JDN-2: Savage Arms shotgun,,Automatic,36594
52419,,,,,
2016-,10/18/2016,JDN-1: Winchester 12 gauge,,12,1068571
52419,,shotgun,,,
2016-,9/29/2016,MMD 1 SHOTGUN,BENELLI,121M1,1955989
52431,,,,,
2016-,10/11/2016,WSH-1 Glock 45 Cal. Serial,Glock,21,KYT548
52805,,Number KYT548 For DNA and,,,
,,Fingerprinting,,,
2016-,11/4/2016,JKC-2 9mm Glock 19 serial,,Glock,WHF123
53391,,#WHF123,,,
2016-,10/11/2016,JJMC-1 Beretta 9mm pistol,,beretta,PX24122
54046,,surrendered for court order.,,,
,,"Model PX, S/N PX241224",,,
2016-,11/9/2016,JAJ-1 Smith & Wesson,Smith & Wesson,19-4,61K4554
54787,,Revolver,,,
2016-,10/21/2016,TJK-9: handgun,,FNS-9,GKU0049
55094,,,,,
2016-,11/9/2016,JAJ-2 Kahr Arms handgun with,Kahr Arms,MK-40,HA4323
55702,,magazine,,,
2016-,10/22/2016,DTS-1- Sears and Roebuck,Sears and Roebu,JC Higgings 583,NA
56687,,"shotgun, JC Higgins 583.14",,,
2016-,10/26/2016,RPS 1 - Revolver recovered from,,revolver,IT156401
57286,,house,,,
2016-,10/29/2016,SW-1 KWA KP45 Tactical 6mm,KWA,KP45 Tactical,25-09470
57923,,Air Soft,,,
2016-,11/4/2016,"MCB-13 .22 barrel of a shotgun,",,unknown,unknown
58598,,unknown Serial number of model,,,
60361,,"P85MKII, black, serial number",,,
,,303-02109,,,
2016-,11/30/2016,SRS-4 - stolen/recovered glock,Glock,27,KCM704
61454,,27,,,
2016-,12/2/2016,MAH-1,smith and wesso,3000,FC32896
64374,,,,,
2016-,12/5/2016,JAG-1 - RG 22 caliber Firearm,RG,RG14,L578915
64825,,model RG 14,,,
2016-,12/15/2016,RAN 4 / Sig Sauer P226 .40,,P226,47A0860
65548,,handgun,,,
2016-,12/13/2016,AMF-1: PowerMaster .177 caliber,,PowerMaster,88825005
66330,,pellet rifle SN#888250059,,,
2016-,12/13/2016,AMF-2 Bow Gun crossbow,,Bow Gun,N/A
66330,,,,,
2016-,12/24/2016,AEE 2 - Marlin 22 - Hold for,Marlin,795,91470221
68340,,safekeeping pending Protection,,,
,,Order,,,
2016-,12/24/2016,AEE 1 - Marlin 22 - Hold for,Marlin,915y,91617089
68340,,safekeeping pending Protection,,,
,,Order,,,
2016-,4/20/2017,JAJ-1 S&W 357 model 65-3,S&W,65-3,43652
69497,,s/n 43652 used in suicide,,,
,,revolver,,,
2017-,1/2/2017,DJK 02 One black BB gun pistol,,SW,NONE
217,,(Looks like S&W MP pistol),,,
2017-,1/3/2017,MCB-1 Mossberg 590 12GA,,590,Unknown
447,,,,,
2017-,1/3/2017,MCB-2 Glock 19 Handgun,,19,NAR230
447,,,,,
